ANALYSIS_DATE,DAILY_FEAR_GREED_SCORE,FEAR_GREED_CATEGORY,TOTAL_ARTICLES,HOURLY_SCORES,PROCESSING_TIMESTAMP
2025-07-08,64,Greed,492,"[
  56,
  61,
  60,
  69,
  65,
  64,
  62,
  71,
  51,
  56,
  69,
  68,
  59,
  65,
  64,
  66,
  67,
  67,
  68,
  59,
  71,
  70,
  65,
  65
]",2025-07-16 16:46:22.759
2025-07-09,65,Greed,472,"[
  68,
  63,
  68,
  59,
  63,
  61,
  62,
  74,
  63,
  61,
  70,
  66,
  68,
  61,
  59,
  63,
  73,
  62,
  70,
  61,
  73,
  68,
  60,
  67
]",2025-07-16 16:46:22.759
2025-07-10,68,Greed,520,"[
  68,
  70,
  72,
  65,
  56,
  71,
  57,
  70,
  69,
  78,
  61,
  72,
  71,
  73,
  67,
  70,
  66,
  63,
  68,
  60,
  73,
  71,
  62,
  69
]",2025-07-16 16:46:22.759
2025-07-11,69,Greed,543,"[
  63,
  65,
  74,
  64,
  66,
  67,
  73,
  68,
  63,
  81,
  65,
  68,
  72,
  72,
  62,
  63,
  64,
  78,
  69,
  70,
  71,
  73,
  73,
  67
]",2025-07-16 16:46:22.759
2025-07-12,66,Greed,289,"[
  68,
  70,
  59,
  69,
  71,
  63,
  48,
  64,
  74,
  69,
  64,
  69,
  70,
  52,
  67,
  65,
  70,
  71,
  76,
  68,
  70,
  72,
  68,
  49
]",2025-07-16 16:46:22.759
2025-07-13,65,Greed,175,"[
  61,
  51,
  58,
  78,
  65,
  57,
  74,
  74,
  58,
  59,
  68,
  71,
  77,
  70,
  60,
  71,
  68,
  65,
  79,
  77,
  51,
  61,
  54,
  62
]",2025-07-16 16:46:22.759
2025-07-14,68,Greed,567,"[
  73,
  67,
  70,
  66,
  58,
  72,
  72,
  68,
  72,
  70,
  72,
  68,
  70,
  81,
  70,
  74,
  60,
  63,
  67,
  55,
  66,
  67,
  70,
  70
]",2025-07-16 16:46:22.759
2025-07-15,65,Greed,554,"[
  66,
  68,
  61,
  68,
  59,
  66,
  48,
  60,
  67,
  63,
  71,
  56,
  73,
  64,
  73,
  66,
  66,
  67,
  69,
  64,
  66,
  66,
  68,
  70
]",2025-07-16 16:46:22.759
2025-07-16,66,Greed,496,"[
  56,
  65,
  60,
  71,
  64,
  71,
  57,
  66,
  72,
  67,
  75,
  72,
  64,
  70,
  84,
  69,
  65,
  59,
  59,
  66,
  69,
  66,
  72,
  73,
  57,
  91,
  47,
  77,
  64,
  55,
  35
]",2025-07-17 17:00:03.333
2025-07-17,64,Greed,413,"[
  40,
  59,
  76,
  67,
  58,
  71,
  69,
  71,
  27,
  62,
  51,
  71,
  67,
  79,
  67,
  64,
  69,
  68,
  43,
  63,
  55,
  58,
  74,
  68,
  72,
  72,
  68,
  70,
  72,
  79
]",2025-07-18 17:00:03.487
2025-07-18,69,Greed,414,"[
  79,
  66,
  70,
  72,
  67,
  70,
  74,
  73,
  71,
  92,
  78,
  68,
  68,
  80,
  67,
  70,
  74,
  33,
  79,
  71,
  25,
  75,
  50,
  70,
  68,
  76,
  72,
  71,
  61,
  65,
  75,
  77,
  71,
  75
]",2025-07-19 13:16:32.386
2025-07-19,71,Greed,216,"[
  69,
  56,
  62,
  72,
  90,
  69,
  63,
  73,
  62,
  83,
  69,
  66,
  61,
  70,
  67,
  70,
  73,
  70,
  73,
  70,
  84,
  72,
  70,
  70,
  73,
  60,
  90,
  69,
  74
]",2025-07-20 14:07:35.677
2025-07-20,67,Greed,152,"[
  75,
  61,
  54,
  78,
  72,
  58,
  70,
  72,
  69,
  71,
  71,
  74,
  67,
  70,
  50,
  53,
  85,
  71,
  70,
  62,
  29,
  70,
  65,
  75,
  80,
  79,
  59
]",2025-07-21 14:35:00.904
2025-07-21,69,Greed,400,"[
  75,
  63,
  70,
  68,
  53,
  83,
  64,
  56,
  73,
  90,
  60,
  73,
  69,
  76,
  86,
  59,
  68,
  73,
  77,
  66,
  71,
  70,
  68,
  76,
  71,
  39,
  60,
  67,
  77,
  65,
  62,
  75
]",2025-07-22 14:35:01.192
2025-07-22,68,Greed,450,"[
  79,
  68,
  72,
  69,
  64,
  68,
  75,
  69,
  67,
  67,
  75,
  73,
  59,
  67,
  69,
  64,
  57,
  66,
  62,
  83,
  71,
  80,
  66,
  63,
  85,
  65,
  70,
  70,
  68,
  21,
  83
]",2025-07-23 14:35:01.328
2025-07-23,69,Greed,416,"[
  61,
  76,
  71,
  64,
  74,
  85,
  66,
  70,
  89,
  68,
  64,
  83,
  72,
  67,
  65,
  76,
  70,
  76,
  69,
  74,
  67,
  69,
  73,
  67,
  81,
  53,
  69,
  73,
  52,
  65,
  59,
  67,
  52
]",2025-07-24 14:35:02.011
